date,Abra,Agusan_del_Norte,Agusan_del_Sur
2022-09-01,488.6282341473264,33.260257999887585,59.284331972489916
2022-09-02,1384.9287213188463,3.469637776551982,0.9725724695128972
2022-09-03,233.0292775442174,19.991222117729336,19.68639784480927
2022-09-04,493.13100650373445,75.31670198704414,81.9798464755245
2022-09-05,27.529695298315144,56.60732715591612,47.8677853797246
2022-09-06,2.907638352637417,24.476586884660684,10.319866377503798
2022-09-07,0.0,0.0,0.3500143216816959
2022-09-08,68.15825682161841,117.44919456512089,173.05579497910077
2022-09-09,0.2718872730333435,7.275550635200244,1.9897326170654142
2022-09-10,0.05277038529471568,0.0,0.0
2022-09-11,98.90425118812716,0.0,0.0
2022-09-12,127.8525924682617,0.0,0.0
2022-09-13,119.14144539483482,47.070716978533,55.91758431211094
2022-09-14,4.217468582639946,41.13458423840671,69.50241264126338
2022-09-15,9.703369832807972,62.51264531433347,121.05922287347083
2022-09-16,0.024864208663313972,27.250292710164793,45.54081630839059
2022-09-17,45.40236658784302,2.03563461190627,22.725875662699156
2022-09-18,36.24784840446763,0.29303575645793567,0.6669898618441514
2022-09-19,61.048668679603736,3.049566683561906,0.0
2022-09-20,31.9362932244354,85.20968253998889,90.55826058566323
2022-09-21,53.011633707980614,54.971254439222015,27.6286023010328
2022-09-22,33.326881386317815,0.0,0.0
2022-09-23,89.891591606252,61.02526113638294,119.1309432560131
2022-09-24,51.943600293827906,55.99768405657983,64.61498675829164
2022-09-25,168.6116883845623,17.2577966531746,23.179979278707307
2022-09-26,0.5411977012835639,27.853308824682426,11.822263709715106
2022-09-27,248.5503795545472,109.0387866355685,130.23963150468848
2022-09-28,91.13437639163737,12.875152067704636,29.340703369013646
2022-09-29,17.94864052691418,232.26658521810543,119.62814689244712
2022-09-30,32.580888048994225,39.1479200280231,65.85973984060936
2022-10-01,0.015944338264353465,36.49926999058177,51.92346542718176
2022-10-02,5.9698582034656384,67.71695081989756,124.22977193549339
2022-10-03,3.239643008827814,37.98929659274256,32.892952703404525
2022-10-04,27.35908951297883,48.10911751547351,63.72007238782229
2022-10-05,0.0,152.04178984268856,136.66573539024915
2022-10-06,35.14369123632258,8.283520074701123,6.763789565817825
2022-10-07,3.056795315309005,0.2573356717942732,0.0
2022-10-08,1.694280886580168,8.816239507773176,0.4706952234577703
2022-10-09,121.33725986872251,5.59725753591937,9.02950744027073
2022-10-10,120.67997858041895,29.054255504381985,64.00945829320054
2022-10-11,92.00825594457363,24.79331194459214,14.392780019572308
2022-10-12,502.7214634691166,27.051368826462824,45.71837701149359
2022-10-13,27.033403436459402,55.896946352932304,138.0591687798996
2022-10-14,0.09191915506491563,102.4924124615937,91.14270068206999
2022-10-15,1087.7904324797244,53.24153680009805,74.52626036539489
2022-10-16,1603.7809911822994,156.27754120958653,242.45600073149072
2022-10-17,5.012128976782746,224.71007842414463,345.14088268518117
2022-10-18,79.59784512785524,109.21929702457233,83.75292307923803
2022-10-19,340.5652406754033,149.86278410297137,164.7473622717573
